epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8081,1.45017,2.95137,2.34553,1.44734,0,0.37503,0.0597,0.05904,0.02016,0.00867,0.34625,0.04356,0.01675,1.83845,4.04404,3.35493,1.88567,0,0.000651852,0.000651852,0.000651852
2,86.4932,1.47553,2.47043,1.82196,1.4062,0,0.16789,0.28358,0.10586,0.0443,0.15473,0.26368,0.10219,0.0416,1.87099,4.48049,2.73045,1.90759,0,0.00130982,0.00130982,0.00130982
3,123.365,1.46878,2.41391,1.73747,1.44142,0,0.4682,0.46766,0.45852,0.21447,0.52945,0.44776,0.4646,0.21998,1.73694,3.42186,2.15322,1.83674,0,0.00195898,0.00195898,0.00195898
4,155.967,1.48918,2.44814,1.64065,1.45229,0,0.49698,0.48171,0.42902,0.19856,0.52792,0.46735,0.42993,0.19088,1.8324,3.67143,2.02264,1.76676,0,0.0019604,0.0019604,0.0019604
5,189.454,1.47118,2.39345,1.5397,1.39888,0,0.5225,0.41294,0.40453,0.20873,0.55416,0.41791,0.40007,0.18817,1.88621,3.90268,2.11503,1.76292,0,0.0019472,0.0019472,0.0019472
6,221.542,1.42903,2.32128,1.49424,1.40453,0,0.44146,0.48259,0.45525,0.2337,0.4615,0.49254,0.45789,0.22297,1.71708,3.01769,1.85741,1.65418,0,0.001934,0.001934,0.001934
7,253.572,1.42178,2.28116,1.41133,1.40337,0,0.59306,0.50746,0.49523,0.26418,0.61888,0.52736,0.50339,0.26192,1.67904,3.286,1.84007,1.62606,0,0.0019208,0.0019208,0.0019208
8,286.461,1.40256,2.29678,1.38014,1.38504,0,0.54652,0.56362,0.50331,0.2686,0.56099,0.57854,0.52803,0.27181,1.65756,2.68138,1.6814,1.60868,0,0.0019076,0.0019076,0.0019076
9,321.125,1.37521,2.15814,1.34699,1.37112,0,0.51186,0.57711,0.51025,0.28288,0.63274,0.50249,0.5222,0.26638,1.6518,2.96677,1.67711,1.55053,0,0.0018944,0.0018944,0.0018944
10,354.47,1.37099,2.20037,1.33116,1.35061,0,0.61896,0.50107,0.57237,0.29156,0.63003,0.50746,0.58801,0.28651,1.60967,2.78229,1.4888,1.58855,0,0.0018812,0.0018812,0.0018812
11,386.931,1.35737,2.17166,1.30524,1.36191,0,0.59249,0.61486,0.59604,0.31985,0.65417,0.58706,0.62365,0.32198,1.58608,2.6402,1.5046,1.50059,0,0.001868,0.001868,0.001868
12,419.991,1.32681,2.11394,1.23932,1.32179,0,0.58645,0.62792,0.59885,0.32341,0.61825,0.64179,0.61008,0.32262,1.63821,2.81699,1.51203,1.54643,0,0.0018548,0.0018548,0.0018548
13,452.281,1.31106,2.13248,1.20354,1.32856,0,0.57825,0.66165,0.63077,0.3409,0.60216,0.64007,0.64638,0.3234,1.60093,2.78564,1.44165,1.55815,0,0.0018416,0.0018416,0.0018416
14,484.007,1.30651,2.09195,1.16954,1.31961,0,0.61212,0.55721,0.54883,0.28962,0.61862,0.57297,0.56519,0.27924,1.68075,2.82694,1.57262,1.57808,0,0.0018284,0.0018284,0.0018284
15,516.234,1.32037,2.09898,1.17543,1.30694,0,0.58728,0.66169,0.64686,0.35767,0.59443,0.67164,0.65153,0.35851,1.5559,2.62019,1.35359,1.48609,0,0.0018152,0.0018152,0.0018152
16,548.725,1.25014,2.06395,1.11705,1.27856,0,0.6176,0.57711,0.59132,0.3102,0.64349,0.57711,0.60229,0.30568,1.58143,2.81026,1.50461,1.51832,0,0.001802,0.001802,0.001802
17,581.035,1.2714,2.01181,1.09964,1.26712,0,0.62971,0.50764,0.56768,0.30576,0.64255,0.52736,0.57537,0.30645,1.67276,2.64941,1.72663,1.56094,0,0.0017888,0.0017888,0.0017888
18,612.609,1.24123,1.99854,1.08858,1.25721,0,0.63265,0.61194,0.60238,0.34796,0.64294,0.62189,0.61546,0.32781,1.52202,2.92239,1.4217,1.43315,0,0.0017756,0.0017756,0.0017756
19,645.265,1.25187,1.9907,1.0772,1.25816,0,0.60783,0.64677,0.64219,0.36025,0.59455,0.65174,0.62468,0.33468,1.54073,2.87189,1.4224,1.46369,0,0.0017624,0.0017624,0.0017624
20,677.357,1.2368,1.96413,1.02952,1.24791,0,0.71113,0.61194,0.64415,0.37672,0.71113,0.61194,0.64557,0.34275,1.47506,2.86872,1.33933,1.43992,0,0.0017492,0.0017492,0.0017492
21,712.43,1.22335,1.99881,1.00221,1.25156,0,0.72381,0.58671,0.67378,0.36121,0.72381,0.58671,0.68016,0.34438,1.5406,2.8716,1.38761,1.43117,0,0.001736,0.001736,0.001736
22,744.413,1.21648,1.91666,0.98853,1.23685,0,0.69566,0.60199,0.6487,0.35,0.70418,0.60697,0.66343,0.33549,1.52966,2.85506,1.45345,1.44259,0,0.0017228,0.0017228,0.0017228
23,777.055,1.18292,1.92078,1.01323,1.23198,0,0.66889,0.65327,0.67434,0.37263,0.66889,0.65327,0.6773,0.35273,1.52035,2.59437,1.34815,1.4464,0,0.0017096,0.0017096,0.0017096
24,810.301,1.18566,1.89519,0.98351,1.21845,0,0.64769,0.64179,0.63714,0.34005,0.66808,0.6409,0.64743,0.33545,1.55345,2.44205,1.44352,1.49316,0,0.0016964,0.0016964,0.0016964
25,842.389,1.18109,1.90822,0.95687,1.22413,0,0.59585,0.63682,0.6208,0.34443,0.61347,0.62379,0.62374,0.3408,1.52641,2.66365,1.46326,1.42483,0,0.0016832,0.0016832,0.0016832
26,875.209,1.19551,1.92434,0.97629,1.22279,0,0.66361,0.54726,0.62081,0.35168,0.60884,0.59701,0.62635,0.33849,1.54233,2.81493,1.46598,1.47162,0,0.00167,0.00167,0.00167
27,909.179,1.14204,1.83913,0.93637,1.1994,0,0.65196,0.65672,0.65785,0.37229,0.64904,0.66244,0.66719,0.35256,1.50848,2.74377,1.3642,1.44999,0,0.0016568,0.0016568,0.0016568
28,943.876,1.1493,1.86078,0.9389,1.19936,0,0.59541,0.66667,0.64282,0.3734,0.61885,0.65431,0.63682,0.33869,1.53039,2.74286,1.32339,1.45157,0,0.0016436,0.0016436,0.0016436
29,975.962,1.13398,1.85754,0.92906,1.18449,0,0.57844,0.65672,0.63002,0.35886,0.6079,0.65174,0.63676,0.34487,1.52314,2.86023,1.33752,1.45996,0,0.0016304,0.0016304,0.0016304
30,1010.56,1.16018,1.81014,0.92197,1.20344,0,0.70438,0.53731,0.60652,0.35376,0.72726,0.55224,0.62031,0.34776,1.57093,2.84204,1.46086,1.5258,0,0.0016172,0.0016172,0.0016172
